RED (DN),NIR (DN),Green (DN),ndvi,RH (%),Temp (C),Nitrogen (ppm)
47.88,328.05,54.9,0.74,33.8,23.2,1179.39
51.99,329.97,56.5,0.72,33.8,23.2,1136.64
52.37,325.9,56.14,0.72,33.8,23.2,1093.9
55.81,200.32,43.11,0.56,33.8,23.2,418.46
59.3,209.11,45.47,0.55,33.8,23.2,413.75
56.36,208.75,44.72,0.57,33.8,23.2,409.28
74.64,223.63,52.27,0.5,33.8,23.2,1139.47
78.95,229.52,54.5,0.49,33.8,23.2,1098.66
79.21,230.47,55.09,0.49,33.8,23.2,1059.94
85.53,226.03,55.86,0.44,33.8,23.2,760.72
98.47,238.19,61.73,0.41,33.8,23.2,738.83
102.15,247.7,64.07,0.41,33.8,23.2,718.12
44.84,287.68,49.64,0.73,33.8,23.2,927.98
47.37,312.47,53.44,0.74,33.8,23.2,897.75
48.64,323.58,55.13,0.74,33.8,23.2,869.15
47.84,339.04,56.6,0.75,33.8,23.2,967.15
47.6,381.57,61.43,0.78,33.8,23.2,938.85
48.77,391.88,62.88,0.78,33.8,23.2,908.17
99.79,256.35,58.14,0.49,46.2,24.1,1036.11
104.66,265.32,59.71,0.49,46.2,24.1,1000.51
104.12,268.98,63.05,0.46,46.2,24.1,966.7
46.67,311.63,52.52,0.72,46.2,24.1,950.92
43.28,358.41,57.92,0.75,46.2,24.1,919.64
41.69,354.49,56.49,0.76,46.2,24.1,889.85
65.41,308.62,57.18,0.67,46.2,24.1,901.02
70.86,338.76,59.38,0.7,46.2,24.1,872.28
78.54,353.09,59.3,0.74,46.2,24.1,844.87
39.49,260.42,63.32,0.46,46.2,24.1,845.17
51.39,264.63,66.37,0.44,46.2,24.1,831.91
56.5,269.17,66.83,0.45,46.2,24.1,819.11
55.99,311.83,51.53,0.76,46.2,24.1,761.02
63.82,325.55,51.81,0.79,46.2,24.1,739.13
66.8,336.38,54.13,0.78,46.2,24.1,718.42
48.12,349.84,59.99,0.73,46.2,24.1,938.85
51.06,387.93,62.34,0.77,46.2,24.1,908.17
49.63,400.78,63.2,0.78,46.2,24.1,878.98
99.95,277.48,66.28,0.46,57.6,24.8,680.29
104.13,271.61,67.01,0.44,57.6,24.8,673.15
102.69,263.35,65.67,0.43,57.6,24.8,669.57
44.99,318.1,52.71,0.73,57.6,24.8,621.91
41.99,318.73,51.85,0.75,57.6,24.8,607.02
40.22,294.12,48.77,0.75,57.6,24.8,578.87
66.78,265.91,54.33,0.58,57.6,24.8,598.23
76.19,305.64,61.84,0.59,57.6,24.8,584.53
78.82,315.68,63.89,0.59,57.6,24.8,563.82
39.91,301.39,49.75,0.76,57.6,24.8,578.12
57.28,320.28,57.9,0.69,57.6,24.8,565.46
56.41,325.96,58.54,0.7,57.6,24.8,546.1
57.3,227.48,46.38,0.59,57.6,24.8,542.67
66.44,256.15,52.73,0.59,57.6,24.8,531.8
66.61,254.53,52.76,0.58,57.6,24.8,515.12
48.11,233.98,44.48,0.65,57.6,24.8,631.59
50.5,258.24,47.95,0.66,57.6,24.8,616.25
49.29,273.04,49.43,0.68,57.6,24.8,592.87
